"translation_key","source_type","route","owner","status"
"schools.h1b","dictionary","Other","i18n","localized"
"schools.sub","dictionary","Other","i18n","localized"
"schools.school_label","dictionary","Other","i18n","localized"
"schools.career_outcomes","dictionary","Other","i18n","localized"
"schools.explore_btn","dictionary","Other","i18n","localized"
"schools.level_range","dictionary","Other","i18n","localized"
"schools.weeks_suffix","dictionary","Other","i18n","localized"
"schools.cta_label","dictionary","Other","i18n","localized"
"schools.cta_h2a","dictionary","Other","i18n","localized"
"schools.cta_price","dictionary","Other","i18n","localized"
"schools.cta_sub","dictionary","Other","i18n","localized"
"schools.pricing_btn","dictionary","Other","i18n","localized"
"schools.free_btn","dictionary","Other","i18n","localized"
"career.focus","dictionary","Career Path","i18n","localized"
"career.title","dictionary","Career Path","i18n","localized"
"career.subtitle","dictionary","Career Path","i18n","localized"
"career.select_prog","dictionary","Career Path","i18n","localized"
"career.prog_count","dictionary","Career Path","i18n","localized"
"career.loading","dictionary","Career Path","i18n","localized"
"career.choose_target","dictionary","Career Path","i18n","localized"
"career.choose_target_desc","dictionary","Career Path","i18n","localized"
"career.modules","dictionary","Career Path","i18n","localized"
"career.certified","dictionary","Career Path","i18n","localized"
"career.start_learning","dictionary","Career Path","i18n","localized"
"career.tab_path","dictionary","Career Path","i18n","localized"
"career.tab_resources","dictionary","Career Path","i18n","localized"
"career.tab_glossary","dictionary","Career Path","i18n","localized"
"career.tab_salary","dictionary","Career Path","i18n","localized"
"career.modules_loading","dictionary","Career Path","i18n","localized"
"career.content_preparing","dictionary","Career Path","i18n","localized"
"career.go_course","dictionary","Career Path","i18n","localized"
"career.complete_order","dictionary","Career Path","i18n","localized"
"career.labs","dictionary","Career Path","i18n","localized"
"career.labs_desc","dictionary","Career Path","i18n","localized"
"career.simulations","dictionary","Career Path","i18n","localized"
"career.simulations_desc","dictionary","Career Path","i18n","localized"
"career.case_studies","dictionary","Career Path","i18n","localized"
"career.case_studies_desc","dictionary","Career Path","i18n","localized"
